total time excited,233267,
total time image,49871.1,
total number of excited,84277,
total number of image,12441,
average time excited,2.76786,
average time image,4.00861,
2018-02-13-15-48-47-289,excited,2.672
2018-02-13-15-50-12-979,excited,0.117
2018-02-13-15-50-13-877,Image,0.897
2018-02-13-15-50-15-897,excited,2.02
2018-02-13-15-50-50-053,excited,0.115
2018-02-13-15-50-51-056,Image,1.003
2018-02-13-15-50-53-085,excited,2.028
2018-02-13-15-50-54-767,excited,0.121
2018-02-13-15-50-55-760,Image,0.994
2018-02-13-15-50-57-799,excited,2.038
2018-02-13-15-52-04-081,excited,2.7
2018-02-13-15-52-47-964,excited,2.703
2018-02-13-15-54-19-978,excited,2.659
2018-02-13-15-54-23-344,excited,0.12
2018-02-13-15-54-23-729,Image,0.385
2018-02-13-15-54-25-040,excited,1.311
2018-02-13-15-54-25-732,Image,0.693
2018-02-13-15-54-27-751,excited,2.018
2018-02-13-15-55-29-939,excited,2.696
2018-02-13-15-56-12-713,excited,2.691
2018-02-13-15-58-47-014,excited,2.689
2018-02-13-16-00-32-498,excited,2.699
2018-02-13-16-03-48-560,excited,2.674
2018-02-13-16-05-40-287,excited,0.202
2018-02-13-16-05-40-492,Image,0.205
2018-02-13-16-05-42-508,excited,2.016
2018-02-13-16-06-02-534,excited,0.117
2018-02-13-16-06-04-863,Image,2.328
2018-02-13-16-06-06-531,excited,1.668
2018-02-13-16-06-08-527,Image,1.996
2018-02-13-16-06-10-555,excited,2.029
2018-02-13-16-06-13-359,excited,0.119
2018-02-13-16-06-14-847,Image,1.488
2018-02-13-16-06-16-885,excited,2.038
2018-02-13-16-06-23-982,excited,0.116
2018-02-13-16-06-24-183,Image,0.201
2018-02-13-16-06-26-201,excited,2.018
2018-02-13-16-06-29-575,excited,5.392
2018-02-13-16-06-32-615,Image,3.041
2018-02-13-16-06-34-650,excited,2.034
2018-02-13-16-06-38-485,excited,0.091
2018-02-13-16-06-39-994,Image,1.509
2018-02-13-16-06-42-034,excited,2.04
2018-02-13-16-07-03-666,excited,0.117
2018-02-13-16-07-07-454,Image,3.789
2018-02-13-16-07-11-860,excited,4.405
2018-02-13-16-07-17-057,excited,2.675
2018-02-13-16-07-58-425,excited,2.68
2018-02-13-16-12-17-441,excited,1.701
2018-02-13-16-12-19-051,Image,1.61
2018-02-13-16-12-21-076,excited,2.026
2018-02-13-16-12-47-459,excited,2.67
2018-02-13-16-13-36-276,excited,0.198
2018-02-13-16-13-36-987,Image,0.712
2018-02-13-16-13-39-031,excited,2.043
2018-02-13-16-14-24-252,excited,0.087
2018-02-13-16-14-24-555,Image,0.303
2018-02-13-16-14-26-546,excited,1.992
2018-02-13-16-16-18-166,excited,0.197
2018-02-13-16-16-33-425,Image,15.259
2018-02-13-16-16-35-446,excited,2.021
2018-02-13-16-18-45-231,excited,2.665
2018-02-13-16-18-51-260,excited,2.695
2018-02-13-16-20-35-751,excited,2.682
2018-02-13-16-23-50-716,excited,0.089
2018-02-13-16-23-50-923,Image,0.206
2018-02-13-16-23-52-927,excited,2.003
2018-02-13-16-26-12-792,excited,0.113
2018-02-13-16-26-13-512,Image,0.72
2018-02-13-16-26-15-397,excited,1.886
2018-02-13-16-26-16-504,Image,1.106
2018-02-13-16-26-18-518,excited,2.014
2018-02-13-16-36-56-256,excited,2.681
2018-02-13-16-38-58-193,excited,2.692
2018-02-13-16-39-27-936,excited,2.676
2018-02-13-16-59-01-551,excited,0.212
2018-02-13-16-59-02-039,Image,0.488
2018-02-13-16-59-04-075,excited,2.036
2018-02-13-16-59-26-286,excited,0.195
2018-02-13-16-59-26-486,Image,0.199
2018-02-13-16-59-28-538,excited,2.052
2018-02-13-17-00-04-120,excited,2.684
2018-02-13-17-01-14-050,excited,2.682
2018-02-13-17-07-50-693,excited,2.678
2018-02-13-17-08-38-572,excited,2.682
2018-02-13-17-09-43-399,excited,2.683
2018-02-13-17-26-32-037,excited,2.682
2018-02-13-17-27-04-398,excited,2.677
2018-02-13-17-27-42-292,excited,0.207
2018-02-13-17-27-42-587,Image,0.294
2018-02-13-17-27-44-623,excited,2.036
2018-02-13-17-40-08-855,excited,2.688
2018-02-13-17-43-01-454,excited,2.678
2018-02-13-17-47-31-434,excited,2.675
2018-02-13-17-48-57-630,excited,0.085
2018-02-13-17-48-57-922,Image,0.292
2018-02-13-17-48-58-426,excited,0.505
2018-02-13-17-48-59-438,Image,1.011
2018-02-13-17-49-01-462,excited,2.025
2018-02-13-17-52-09-038,excited,2.666
2018-02-13-17-52-41-392,excited,2.661
2018-02-13-17-53-06-481,excited,2.69
2018-02-13-17-54-26-654,excited,0.119
2018-02-13-17-54-27-863,Image,1.209
2018-02-13-17-54-29-902,excited,2.039
2018-02-13-17-59-43-218,excited,2.68
2018-02-13-18-02-13-470,excited,2.678
2018-02-13-18-11-04-371,excited,2.69
2018-02-13-18-13-20-107,excited,2.687
2018-02-13-18-15-48-395,excited,0.162
2018-02-13-18-15-49-598,Image,1.202
2018-02-13-18-15-51-611,excited,2.013
2018-02-13-18-15-57-824,excited,0.113
2018-02-13-18-16-02-950,Image,5.127
2018-02-13-18-16-04-971,excited,2.02
2018-02-13-18-16-18-261,excited,0.198
2018-02-13-18-16-19-378,Image,1.116
2018-02-13-18-16-21-386,excited,2.008
2018-02-13-18-17-57-433,excited,2.688
2018-02-13-18-19-20-250,excited,2.666
2018-02-13-18-21-38-913,excited,2.667
2018-02-13-18-33-09-990,excited,2.67
2018-02-13-18-34-18-957,excited,0.082
2018-02-13-18-34-19-968,Image,1.01
2018-02-13-18-34-21-076,excited,1.109
2018-02-13-18-34-22-484,Image,1.407
2018-02-13-18-34-24-506,excited,2.023
2018-02-13-18-47-25-006,excited,0.086
2018-02-13-18-47-44-679,Image,19.674
2018-02-13-18-47-46-681,excited,2.001
2018-02-13-18-48-16-034,excited,0.115
2018-02-13-18-48-16-753,Image,0.719
2018-02-13-18-48-17-428,excited,0.675
2018-02-13-18-48-17-921,Image,0.492
2018-02-13-18-48-19-922,excited,2.001
2018-02-13-18-50-57-990,excited,2.667
2018-02-13-18-57-29-920,excited,2.667
2018-02-13-19-13-42-304,excited,2.678
2018-02-13-19-15-43-536,excited,2.679
2018-02-13-19-20-02-545,excited,2.702
2018-02-13-19-21-03-226,excited,2.691
2018-02-13-19-22-12-566,excited,2.701
2018-02-13-19-39-12-792,excited,2.667
2018-02-13-19-41-10-842,excited,2.68
2018-02-13-19-42-03-621,excited,2.673
2018-02-13-19-55-12-383,excited,2.684
2018-02-13-20-04-57-374,excited,0.683
2018-02-13-20-04-57-488,Image,0.114
2018-02-13-20-04-58-287,excited,0.799
2018-02-13-20-05-46-316,Image,48.029
2018-02-13-20-05-47-319,excited,1.002
2018-02-13-20-05-47-999,Image,0.679
2018-02-13-20-05-50-020,excited,2.02
2018-02-13-20-05-51-637,excited,0.117
2018-02-13-20-05-56-848,Image,5.211
2018-02-13-20-05-58-890,excited,2.041
2018-02-13-20-27-22-353,excited,2.681
2018-02-13-20-29-33-580,excited,2.664
2018-02-13-20-34-44-556,excited,2.675
2018-02-13-20-41-13-995,excited,2.698
2018-02-13-20-51-47-872,excited,2.689
2018-02-13-20-56-43-322,excited,0.178
2018-02-13-20-56-43-527,Image,0.206
2018-02-13-20-56-45-554,excited,2.026
2018-02-13-20-59-45-141,excited,2.689
2018-02-13-21-00-09-186,excited,2.675
2018-02-13-21-00-25-052,excited,2.703
2018-02-13-21-03-03-608,excited,2.684
2018-02-13-21-06-12-660,excited,2.663
2018-02-13-21-06-52-451,excited,2.697
2018-02-13-21-09-26-026,excited,2.69
2018-02-13-21-12-47-892,excited,2.681
2018-02-13-21-19-20-215,excited,2.684
2018-02-13-21-30-34-051,excited,2.669
2018-02-13-21-34-53-513,excited,2.669
2018-02-13-21-36-05-870,excited,2.698
2018-02-13-21-41-12-548,excited,2.698
2018-02-13-21-43-05-124,excited,2.673
2018-02-13-21-44-28-787,excited,2.669
2018-02-13-21-45-52-643,excited,2.679
2018-02-13-21-49-19-096,excited,2.669
