total time excited,811.159,
total time image,54.92,
total number of excited,227,
total number of image,18,
average time excited,3.57339,
average time image,3.05111,
2018-02-20-20-01-53-225,Image,2.314
2018-02-20-20-01-53-320,excited,0.094
2018-02-20-20-01-53-412,Image,0.092
2018-02-20-20-01-53-823,excited,0.411
2018-02-20-20-02-00-815,Image,6.992
2018-02-20-20-02-01-133,excited,0.318
2018-02-20-20-02-17-073,Image,15.94
2018-02-20-20-02-19-092,excited,2.019
2018-02-20-20-02-22-071,excited,0.097
2018-02-20-20-02-29-894,Image,7.823
2018-02-20-20-02-33-310,excited,3.416
2018-02-20-20-02-33-608,Image,0.297
2018-02-20-20-02-35-660,excited,2.052
2018-02-20-20-03-43-001,excited,2.684
2018-02-20-20-05-03-950,excited,2.685
2018-02-20-20-05-23-419,excited,2.692
2018-02-20-20-05-49-646,excited,2.693
2018-02-20-20-06-13-413,excited,2.698
2018-02-20-20-06-39-445,excited,0.096
2018-02-20-20-06-39-955,Image,0.509
2018-02-20-20-06-41-949,excited,1.995
2018-02-20-20-07-21-014,excited,2.681
2018-02-20-20-08-07-790,excited,2.68
2018-02-20-20-10-46-105,excited,2.701
2018-02-20-20-11-18-489,excited,2.703
2018-02-20-20-11-33-588,excited,2.678
2018-02-20-20-11-41-519,excited,2.69
2018-02-20-20-11-51-905,excited,2.662
2018-02-20-20-12-53-439,excited,2.679
2018-02-20-20-13-19-000,excited,2.709
2018-02-20-20-14-39-962,excited,2.713
2018-02-20-20-15-11-071,excited,2.679
2018-02-20-20-18-29-487,excited,2.71
2018-02-20-20-20-44-219,excited,2.684
2018-02-20-20-20-54-636,excited,2.686
2018-02-20-20-21-15-862,excited,2.677
2018-02-20-20-21-48-226,excited,2.68
2018-02-20-20-21-57-848,excited,2.677
2018-02-20-20-22-12-853,excited,2.684
2018-02-20-20-25-33-677,excited,203.508
2018-02-20-20-25-34-349,Image,0.671
2018-02-20-20-25-34-661,excited,0.313
2018-02-20-20-25-41-067,Image,6.406
2018-02-20-20-25-53-793,excited,12.726
2018-02-20-20-26-06-543,excited,12.718
2018-02-20-20-26-44-959,excited,2.663
2018-02-20-20-27-01-927,excited,0.096
2018-02-20-20-27-02-641,Image,0.713
2018-02-20-20-27-04-688,excited,2.048
2018-02-20-20-32-06-798,excited,2.708
2018-02-20-20-32-53-557,excited,2.678
2018-02-20-20-33-39-227,excited,2.664
2018-02-20-20-33-56-920,excited,2.7
2018-02-20-20-34-03-018,excited,2.689
2018-02-20-20-34-38-946,excited,2.678
2018-02-20-20-36-50-118,excited,2.69
2018-02-20-20-36-58-008,excited,2.679
2018-02-20-20-37-48-014,excited,2.678
2018-02-20-20-39-28-409,excited,2.697
2018-02-20-20-40-32-424,excited,2.683
2018-02-20-20-42-06-713,excited,2.686
2018-02-20-20-43-04-613,excited,2.673
2018-02-20-20-43-31-983,excited,2.707
2018-02-20-20-46-42-821,excited,2.679
2018-02-20-20-47-04-724,excited,2.668
2018-02-20-20-53-17-537,excited,2.678
2018-02-20-20-53-20-761,excited,2.705
2018-02-20-21-01-28-566,excited,2.682
2018-02-20-21-01-36-470,excited,2.689
2018-02-20-21-04-50-058,excited,0.309
2018-02-20-21-04-50-651,Image,0.593
2018-02-20-21-04-52-653,excited,2.001
2018-02-20-21-07-15-909,excited,2.691
2018-02-20-21-08-35-050,excited,2.68
2018-02-20-21-11-07-960,excited,2.705
2018-02-20-21-11-32-501,excited,2.703
2018-02-20-21-11-57-233,excited,2.703
2018-02-20-21-13-30-120,excited,2.702
2018-02-20-21-13-37-338,excited,2.715
2018-02-20-21-13-59-515,excited,2.67
2018-02-20-21-14-17-386,excited,2.678
2018-02-20-21-15-39-327,excited,2.684
2018-02-20-21-17-34-540,excited,2.682
2018-02-20-21-19-39-981,excited,2.702
